data/name,model/_target_,model/bw_factor,model/snr,test/is,test/is_std,test/loss,test/lpips,test/lpips_std,test/msssim,test/msssim_std,test/psnr,test/psnr_std,test/ssim,test/ssim_std,val/is,val/is_std,val/loss,val/lpips,val/lpips_std,val/msssim,val/msssim_std,val/psnr,val/psnr_std,val/ssim,val/ssim_std
Cityscape,DeepJSCCWZ,32,-5.0,1.676763892173767,0.25303173065185547,6.669829599559307E-4,0.07514902949333191,0.021168621256947517,0.9853861331939697,0.007677050307393074,33.103511810302734,2.355344295501709,0.9482927918434143,0.019743578508496284,1.6419403553009033,0.2163153737783432,0.0010911815334111452,0.09230957180261612,0.02260609157383442,0.9811127185821533,0.007819102145731449,31.18802261352539,2.5892865657806396,0.9346412420272827,0.02303893491625786
Cityscape,DeepJSCCWZ,32,-4.0,1.6720079183578491,0.2621046006679535,6.497084978036582E-4,0.07388880103826523,0.020918169990181923,0.9858530759811401,0.007433117832988501,33.222537994384766,2.3556528091430664,0.9493452310562134,0.01932297833263874,1.6606448888778687,0.2191464900970459,0.0010571052553132176,0.09082882851362228,0.022340886294841766,0.981829822063446,0.007534169591963291,31.333763122558594,2.588395357131958,0.9362990260124207,0.02242317795753479
Cityscape,DeepJSCCWZ,32,-3.0,1.6798728704452515,0.24999859929084778,6.328411400318146E-4,0.07289198786020279,0.020654387772083282,0.9863012433052063,0.007260842248797417,33.347652435302734,2.3648793697357178,0.950416088104248,0.01899111457169056,1.6604301929473877,0.24156959354877472,0.001032722182571888,0.08957123756408691,0.02206616848707199,0.9823189973831177,0.00731635931879282,31.430944442749023,2.5697576999664307,0.9373892545700073,0.021981511265039444
Cityscape,DeepJSCCWZ,32,-2.0,1.6699061393737793,0.25939732789993286,6.178388139232993E-4,0.07213658839464188,0.020502230152487755,0.9866852760314941,0.006959559395909309,33.45895767211914,2.362274646759033,0.9512439370155334,0.01860465481877327,1.6607133150100708,0.24033388495445251,0.0010073091834783554,0.08853393793106079,0.021756775677204132,0.9828633069992065,0.007139442954212427,31.56728172302246,2.6005520820617676,0.9385663270950317,0.02163502760231495
Cityscape,DeepJSCCWZ,32,-1.0,1.6711293458938599,0.2715648114681244,6.057663704268634E-4,0.07154020667076111,0.02043522521853447,0.9870311617851257,0.006849285680800676,33.55400085449219,2.367888927459717,0.951991081237793,0.018371472135186195,1.6553401947021484,0.2471853494644165,9.894019458442926E-4,0.08798402547836304,0.02166811190545559,0.983234167098999,0.006936568766832352,31.64215660095215,2.5947036743164062,0.9394212365150452,0.02138563245534897
Cityscape,DeepJSCCWZ,32,0.0,1.6716121435165405,0.25725385546684265,5.948401521891356E-4,0.0709495022892952,0.02028718777000904,0.9873100519180298,0.006677902769297361,33.63393020629883,2.356790542602539,0.9527177214622498,0.018089644610881805,1.669784426689148,0.25391995906829834,9.747780277393758E-4,0.08740637451410294,0.021706314757466316,0.9835799336433411,0.006818526424467564,31.71160125732422,2.6000962257385254,0.9402010440826416,0.02112511172890663
Cityscape,DeepJSCCWZ,32,1.0,1.6621543169021606,0.25793904066085815,5.875075003132224E-4,0.07041890919208527,0.020205048844218254,0.9875274300575256,0.006577881518751383,33.69386291503906,2.3615012168884277,0.9531978964805603,0.017890440300107002,1.665163516998291,0.22703027725219727,9.569554822519422E-4,0.08657906204462051,0.021566001698374748,0.9839264750480652,0.006605988368391991,31.78862762451172,2.5882771015167236,0.940916895866394,0.020751582458615303
Cityscape,DeepJSCCWZ,32,2.0,1.6648508310317993,0.2511661946773529,5.786143592558801E-4,0.06984344124794006,0.020094899460673332,0.9877257943153381,0.006442707031965256,33.76259231567383,2.3633949756622314,0.9535661935806274,0.017766252160072327,1.6601444482803345,0.2641409933567047,9.459516149945557E-4,0.0860532596707344,0.021419329568743706,0.9841360449790955,0.006522226147353649,31.84798240661621,2.596581220626831,0.9412797689437866,0.020636020228266716
Cityscape,DeepJSCCWZ,32,3.0,1.6701338291168213,0.2598620057106018,5.734599544666708E-4,0.06961976736783981,0.020047396421432495,0.9878823757171631,0.006319126114249229,33.80517578125,2.363767385482788,0.9538329839706421,0.017599672079086304,1.6533331871032715,0.2287016361951828,9.358313400298357E-4,0.08570059388875961,0.02119363285601139,0.984370231628418,0.006393803283572197,31.893150329589844,2.5885255336761475,0.9417387247085571,0.02043718844652176
Cityscape,DeepJSCCWZ,32,4.0,1.67147696018219,0.2653284966945648,5.689476965926588E-4,0.06948550790548325,0.019999636337161064,0.9880160689353943,0.006240170449018478,33.8397102355957,2.358797788619995,0.9540667533874512,0.01746785268187523,1.6450105905532837,0.2188861221075058,9.268546709790826E-4,0.08572530001401901,0.02128496766090393,0.9845016598701477,0.0063056363724172115,31.93796157836914,2.591639995574951,0.9419123530387878,0.020324718207120895
Cityscape,DeepJSCCWZ,32,5.0,1.666499137878418,0.26361867785453796,5.664191558025777E-4,0.06967870146036148,0.019958993420004845,0.988083004951477,0.006189556326717138,33.856510162353516,2.3470654487609863,0.9540812373161316,0.0174050722271204,1.6635006666183472,0.24099598824977875,9.211955475620925E-4,0.08590660989284515,0.021297257393598557,0.984622061252594,0.006286252290010452,31.96199607849121,2.5802712440490723,0.9420638680458069,0.02024148590862751
