data/name,model/_target_,model/bw_factor,model/snr,test/is,test/is_std,test/loss,test/lpips,test/lpips_std,test/msssim,test/msssim_std,test/psnr,test/psnr_std,test/ssim,test/ssim_std,val/is,val/is_std,val/loss,val/lpips,val/lpips_std,val/msssim,val/msssim_std,val/psnr,val/psnr_std,val/ssim,val/ssim_std
KittiStereo,DeepJSCCWZ,32,-5.0,1.6572574377059937,0.19288842380046844,0.005426341202110052,0.2703346610069275,0.04902756214141846,0.9326484203338623,0.028270648792386055,23.55691909790039,2.114365577697754,0.7818585634231567,0.05727449432015419,1.68064284324646,0.2557844817638397,0.005482221953570843,0.2714535593986511,0.04957863688468933,0.9322316646575928,0.02830466814339161,23.493892669677734,2.0958220958709717,0.7807124853134155,0.05788861960172653
KittiStereo,DeepJSCCWZ,32,-4.0,1.6624373197555542,0.2273695319890976,0.00521825673058629,0.2664391100406647,0.048009421676397324,0.9358463883399963,0.02642582729458809,23.720792770385742,2.097531318664551,0.7871032953262329,0.05569442734122276,1.6764233112335205,0.22675395011901855,0.005260006990283728,0.26744669675827026,0.049053288996219635,0.9352939128875732,0.026883775368332863,23.667232513427734,2.0771002769470215,0.7858654260635376,0.05651464685797691
KittiStereo,DeepJSCCWZ,32,-3.0,1.6591860055923462,0.22101423144340515,0.005074270535260439,0.26338455080986023,0.04741055145859718,0.9382641911506653,0.025229884311556816,23.843425750732422,2.0884501934051514,0.7912817001342773,0.05431701987981796,1.652201771736145,0.19304899871349335,0.005104260519146919,0.2641755938529968,0.04856213927268982,0.9379645586013794,0.0257536880671978,23.802608489990234,2.0750176906585693,0.7903046607971191,0.055344756692647934
KittiStereo,DeepJSCCWZ,32,-2.0,1.6657965183258057,0.21630007028579712,0.004932574462145567,0.2613930106163025,0.0468379482626915,0.9404587149620056,0.024045635014772415,23.962324142456055,2.07832932472229,0.794813334941864,0.05334433540701866,1.671655297279358,0.21821732819080353,0.004964827559888363,0.26200443506240845,0.04734249785542488,0.940049946308136,0.02445722185075283,23.920812606811523,2.0607376098632812,0.7937836647033691,0.053977373987436295
KittiStereo,DeepJSCCWZ,32,-1.0,1.6746315956115723,0.2121872752904892,0.0048212213441729546,0.2576436400413513,0.04652082547545433,0.9424600005149841,0.023177633062005043,24.071128845214844,2.0761075019836426,0.7984600067138672,0.05235891044139862,1.6763557195663452,0.2438640147447586,0.004874228034168482,0.25834277272224426,0.04733705520629883,0.9420614838600159,0.02373400889337063,24.018022537231445,2.0688703060150146,0.7973429560661316,0.05313950031995773
KittiStereo,DeepJSCCWZ,32,0.0,1.66107976436615,0.21387839317321777,0.004728805739432573,0.25542116165161133,0.04637511074542999,0.9441456198692322,0.022589577361941338,24.161808013916016,2.0748865604400635,0.8013520240783691,0.05147663503885269,1.6700356006622314,0.2185944765806198,0.00476142019033432,0.25610023736953735,0.04712199419736862,0.9438424110412598,0.02295302227139473,24.113584518432617,2.0524470806121826,0.8003284931182861,0.05216867849230766
KittiStereo,DeepJSCCWZ,32,1.0,1.6534931659698486,0.22098249197006226,0.004643897991627455,0.2534099519252777,0.04573094844818115,0.9456954598426819,0.021767519414424896,24.2392520904541,2.0705244541168213,0.8037824630737305,0.05058002099394798,1.6759889125823975,0.25010421872138977,0.004671772941946983,0.2543787956237793,0.04642106592655182,0.9454011917114258,0.02190857194364071,24.19475555419922,2.0423645973205566,0.8027949333190918,0.05113103240728378
KittiStereo,DeepJSCCWZ,32,2.0,1.6578108072280884,0.2236429899930954,0.004568201955407858,0.25203585624694824,0.04564809054136276,0.946974515914917,0.020994456484913826,24.3084659576416,2.0526254177093506,0.8058292269706726,0.04981640726327896,1.6522057056427002,0.20074526965618134,0.0046037472784519196,0.2528686225414276,0.04612722247838974,0.9466660022735596,0.021251417696475983,24.25946617126465,2.0370302200317383,0.8047576546669006,0.050420645624399185
KittiStereo,DeepJSCCWZ,32,3.0,1.665594458580017,0.21986204385757446,0.004516725428402424,0.2510956823825836,0.045392896980047226,0.9480010867118835,0.020535729825496674,24.35902976989746,2.046401262283325,0.8073835372924805,0.049179211258888245,1.6661971807479858,0.23306122422218323,0.004546863958239555,0.251691997051239,0.04569242149591446,0.9477962255477905,0.020620759576559067,24.315446853637695,2.032172441482544,0.8065148591995239,0.04956453666090965
KittiStereo,DeepJSCCWZ,32,4.0,1.658154010772705,0.2253759205341339,0.004454899579286575,0.2503477931022644,0.045005910098552704,0.9489786028862,0.019987381994724274,24.41712760925293,2.0354068279266357,0.8087199330329895,0.04852922260761261,1.6707533597946167,0.23054975271224976,0.004495284985750914,0.2510230243206024,0.045560725033283234,0.9487510323524475,0.020004894584417343,24.36286163330078,2.0185465812683105,0.8077512383460999,0.04903795197606087
KittiStereo,DeepJSCCWZ,32,5.0,1.665145993232727,0.21963734924793243,0.004421783611178398,0.2505077123641968,0.04428724944591522,0.949632465839386,0.01952468417584896,24.447399139404297,2.0284228324890137,0.8093686103820801,0.04802126809954643,1.659001350402832,0.21600420773029327,0.004446825012564659,0.2512185275554657,0.0450061559677124,0.9494368433952332,0.019554829224944115,24.400304794311523,2.000128984451294,0.808452844619751,0.04845039173960686
